RAJ2000,DEJ2000,umag,gmag,Teff,Mass
13.949069, -8.7520240, 15.53, 15.88, 71388, 0.514
13.966203, -1.0728210, 20.71, 20.30, 7852, 0.897
13.985586, -9.5961580, 18.14, 18.20, 23898, 0.601
14.008765, -0.3789620, 20.15, 20.16, 21828, 0.419
14.047977, 0.9657570, 20.10, 19.65, 8944, 0.917
14.084381, 14.1206610, 18.94, 18.50, 11963, 0.529
14.136224, -0.3042050, 18.85, 19.03, 25467, 0.751
14.265534, 15.1707300, 19.41, 18.84, 10004, 0.674
14.371998, -0.8967540, 18.35, 17.77, 6572, 0.398
14.676920, -0.9492510, 19.23, 18.75, 13125, 0.582
14.979294, -0.5775170, 20.42, 20.07, 8623, 0.493
15.086204, 13.9135870, 17.84, 17.99, 25532, 0.441
15.355581, 0.3469770, 19.30, 18.87, 12263, 0.673
15.627582, -0.7953540, 19.39, 18.92, 11212, 0.587
15.758789, -9.1003600, 18.74, 18.62, 20530, 0.499
15.819430, 0.1499230, 19.16, 18.60, 6513, 0.354
15.842440, -0.3465780, 18.64, 19.09, 75000, 0.649
16.066632, 14.8159450, 18.87, 18.83, 29735, 0.465
16.376162, 0.6694750, 16.97, 17.41, 64204, 0.651
16.429734, -9.3485010, 17.68, 17.24, 7972, 0.612
16.494980, 0.3486850, 19.55, 19.38, 17421, 0.530
16.512378, 0.7880650, 18.61, 18.19, 8627, 0.665
16.583082, 0.3534770, 19.97, 19.60, 11491, 0.837
16.847603, 1.0022870, 20.12, 20.20, 14638, 0.599
17.068597, -0.3036720, 18.58, 18.22, 15004, 0.617
17.135735, 15.6479090, 19.83, 19.66, 24277, 0.560
17.201108, 15.2549870, 16.77, 16.59, 17476, 0.508
17.396346, -10.3192990, 20.87, 20.38, 8593, 0.764
17.445818, -9.1283810, 17.47, 17.85, 52720, 0.575
17.458294, 15.9288420, 21.80, 20.72, 10294, 0.480
17.484789, -9.5754750, 20.69, 20.47, 20647, 0.337
17.485922, 15.6381210, 20.13, 19.88, 19222, 0.626
17.488809, 15.4076630, 20.79, 20.35, 8133, 0.757
17.680516, 16.9141090, 20.37, 20.20, 20421, 0.482
17.698401, 14.9471300, 20.42, 20.39, 21061, 0.880
17.701616, 14.2766260, 18.93, 18.56, 9260, 0.974
17.729440, 14.6561810, 17.28, 16.91, 9200, 1.028
17.735715, -0.9400800, 18.88, 18.71, 17543, 0.567
17.735783, 14.5828830, 18.15, 17.75, 14681, 0.606
17.752653, 0.3019910, 19.11, 18.77, 11765, 0.794
17.770654, 15.6958650, 20.58, 20.25, 12857, 0.446
17.810754, 26.3218150, 20.46, 20.18, 15446, 0.470
17.863015, 25.4502660, 18.03, 18.04, 21284, 0.788
18.042577, 16.4756020, 19.63, 19.77, 29319, 0.410
18.065909, -10.4336590, 20.73, 20.43, 13873, 0.609
18.114681, -8.9607470, 19.13, 19.20, 26141, 1.148
18.116357, -0.0764430, 20.98, 20.53, 10370, 0.792
18.135542, 16.7730140, 20.54, 19.90, 10586, 0.717
18.167358, 15.9405670, 19.81, 19.35, 8099, 0.607
18.223335, -0.0966260, 19.65, 19.64, 19796, 0.597
18.243143, -0.9979000, 18.93, 18.70, 17403, 0.352
18.243585, 16.7353090, 19.49, 19.02, 11637, 0.707
18.261258, -10.1044220, 19.12, 18.77, 13988, 0.620
18.277444, -0.8448890, 19.23, 19.28, 20948, 0.696
18.287354, 24.9407270, 19.74, 19.49, 16689, 0.484
18.287504, 15.7690090, 19.66, 19.24, 9345, 0.599
18.303839, 26.6257000, 20.47, 20.05, 15287, 0.572
18.443059, -9.0136390, 19.67, 19.47, 20397, 0.603
18.444387, -10.6164820, 20.25, 20.09, 18468, 0.766
18.456265, 15.9129430, 20.10, 19.76, 13969, 0.965
18.489232, 24.8009970, 20.58, 20.26, 13603, 0.603
18.572349, -9.3262750, 18.11, 17.71, 12613, 0.639
18.574598, -1.0300860, 19.20, 18.74, 14707, 0.359
18.711579, 26.1308830, 18.08, 17.90, 19960, 0.568
18.715913, -9.1939750, 19.36, 19.27, 21018, 0.552
18.763637, -0.6528680, 19.45, 19.07, 11288, 0.799
18.770503, 15.0514660, 19.22, 19.04, 18855, 0.595
18.772187, 26.1684360, 19.70, 19.81, 25820, 0.521
18.828155, 25.6429700, 20.12, 19.75, 19749, 0.617
18.862419, 16.0793220, 17.57, 17.27, 15236, 0.633
18.889509, -9.7848500, 19.35, 19.30, 21456, 0.626
18.897995, 0.7620670, 18.89, 19.00, 20282, 0.688
18.923425, 31.0678320, 17.78, 17.87, 27184, 0.572
18.938388, 25.5671580, 20.28, 20.36, 27258, 0.594
18.942694, 25.1054650, 19.99, 19.36, 6820, 0.456
19.006136, 15.4361040, 20.83, 20.35, 9556, 0.451
19.070606, -9.7299740, 20.09, 19.39, 6309, 0.625
19.091738, 26.1867190, 19.64, 19.87, 44960, 0.517
19.143582, 31.4812800, 16.24, 16.34, 24442, 0.632
19.154461, 31.3786100, 19.95, 19.62, 15804, 0.457
19.177917, 31.7716910, 18.57, 18.18, 12209, 0.673
19.199730, 31.4793650, 19.43, 19.08, 12808, 1.054
19.310327, 24.6726370, 19.94, 19.63, 16750, 0.704
19.338910, 31.2808070, 19.23, 18.85, 13537, 0.704
19.360423, 25.2287060, 20.59, 19.75, 10467, 0.501
19.402633, 26.2533000, 19.40, 19.16, 18674, 0.584
19.411460, 26.1240540, 21.16, 20.66, 9804, 0.710
19.415740, 31.5154820, 20.03, 19.58, 12609, 0.639
19.446946, -8.7655130, 19.48, 18.99, 9802, 0.741
19.498709, 25.0217440, 20.06, 19.61, 7792, 0.640
19.502339, 32.5563810, 21.02, 20.56, 7833, 0.858
19.502739, -9.4057900, 20.15, 19.83, 14094, 0.406
19.535717, 27.0522670, 18.82, 18.47, 15844, 0.629
19.625600, -9.4973120, 20.10, 19.82, 16822, 0.600
19.678057, 25.3688750, 20.70, 20.70, 14408, 0.331
19.699007, -0.0283690, 18.90, 18.96, 15884, 0.650
19.699331, 31.4441810, 19.50, 19.43, 21799, 0.587
19.700176, 38.4053130, 20.95, 20.49, 12104, 0.889
19.791685, 26.5888150, 19.60, 19.10, 8178, 0.533
19.828456, 6.9807490, 20.66, 20.35, 17016, 0.439
19.833204, -8.9600310, 18.82, 18.85, 22164, 0.583
19.849559, 40.2035760, 19.73, 20.13, 36655, 0.496
19.851662, 30.4472970, 18.09, 18.06, 21631, 0.568
19.876372, 0.8916540, 19.88, 19.46, 7199, 0.627
19.878678, 6.5877950, 20.00, 19.50, 8190, 0.635
19.889690, 26.2695750, 19.37, 19.24, 19611, 0.670
19.891417, 32.5816260, 18.76, 18.49, 13946, 0.872
19.903097, 32.2334000, 17.59, 17.58, 24254, 0.569
19.914391, 26.5350470, 20.31, 20.15, 22400, 0.498
19.921361, 31.3829410, 20.56, 20.47, 19171, 0.636
19.954761, 30.6626450, 20.93, 20.53, 8333, 0.538
19.959735, 26.0201710, 19.49, 19.13, 15745, 0.588
19.960313, 25.8636490, 19.04, 18.71, 9783, 0.880
19.960863, 6.7024570, 20.81, 20.34, 10353, 0.575
19.963222, 40.3666420, 17.94, 17.56, 11702, 0.750
20.015050, 39.3616060, 19.09, 19.41, 37528, 0.513
20.072818, 39.9909740, 19.74, 19.70, 13574, 1.113
20.090596, 15.6241640, 21.07, 19.82, 6313, 0.472
